datetime,temp
9/17/2021,32.5
9/18/2021,31.2
9/19/2021,30.4
9/20/2021,30.4
9/21/2021,29.6
9/22/2021,30
9/23/2021,29.2
9/24/2021,30.9
9/25/2021,31.3
9/26/2021,31
9/27/2021,30.1
9/28/2021,31.1
9/29/2021,33.5
9/30/2021,30.1
10/1/2021,27.7
10/2/2021,27.8
10/3/2021,29.1
10/4/2021,28.9
10/5/2021,28.6
10/6/2021,29.3
10/7/2021,30.5
10/8/2021,29.8
10/9/2021,28.8
10/10/2021,28.5
10/11/2021,29.3
10/12/2021,29.5
10/13/2021,29.2
10/14/2021,28.4
10/15/2021,28.2
10/16/2021,27.6
10/17/2021,27.3
10/18/2021,27.3
10/19/2021,25.9
10/20/2021,27.2
10/21/2021,27
10/22/2021,28
10/23/2021,28.5
10/24/2021,26.7
10/25/2021,26.7
10/26/2021,26.9
10/27/2021,26.9
10/28/2021,26.6
10/29/2021,26.3
10/30/2021,26.9
10/31/2021,26.4
11/1/2021,26.9
11/2/2021,26.6
11/3/2021,27.2
11/4/2021,26.5
11/5/2021,25.3
11/6/2021,25.8
11/7/2021,25.7
11/8/2021,25.6
11/9/2021,25.9
11/10/2021,25.8
11/11/2021,24.9
11/12/2021,25.3
11/13/2021,24.9
11/14/2021,24.1
11/15/2021,24.3
11/16/2021,24.1
11/17/2021,23.8
11/18/2021,22.5
11/19/2021,21.2
11/20/2021,22.6
11/21/2021,23.7
11/22/2021,23.9
11/23/2021,22.3
11/24/2021,24.2
11/25/2021,24.4
11/26/2021,23.5
11/27/2021,23.2
11/28/2021,23.7
11/29/2021,25.1
11/30/2021,24.5
12/1/2021,22.9
12/2/2021,22.9
12/3/2021,22.7
12/4/2021,21.7
12/5/2021,21.3
12/6/2021,22.3
12/7/2021,21
12/8/2021,20.4
12/9/2021,20.4
12/10/2021,20
12/11/2021,18.9
12/12/2021,19.6
12/13/2021,19.5
12/14/2021,20
12/15/2021,18.2
12/16/2021,17.1
12/17/2021,16.8
12/18/2021,16.7
12/19/2021,16.7
12/20/2021,17.9
12/21/2021,20.7
12/22/2021,21.7
12/23/2021,22.6
12/24/2021,22.5
12/25/2021,21.4
12/26/2021,22.2
12/27/2021,17.5
12/28/2021,17.9
12/29/2021,17.1
12/30/2021,17.1
12/31/2021,19.5
1/1/2022,18.4
1/2/2022,19.7
1/3/2022,20.2
1/4/2022,18.6
1/5/2022,17.8
1/6/2022,16.8
1/7/2022,16.4
1/8/2022,16
1/9/2022,14.9
1/10/2022,15.5
1/11/2022,16.5
1/12/2022,16.2
1/13/2022,16.7
1/14/2022,16.9
1/15/2022,17.6
1/16/2022,18.1
1/17/2022,19.6
1/18/2022,19.1
1/19/2022,20
1/20/2022,23.5
1/21/2022,23.7
1/22/2022,20
1/23/2022,16.7
1/24/2022,15.5
1/25/2022,16.1
